날짜,KRX_OF
2023-11-29,1081.756097984695
2023-11-30,1104.266943841074
2023-12-01,1091.601719658995
2023-12-04,1099.323165022703
2023-12-05,1098.550734131593
2023-12-06,1115.6597228032438
2023-12-07,1121.812162476661
2023-12-08,1125.015976721845
2023-12-11,1121.5513722852843
2023-12-12,1120.4599916269758
2023-12-13,1108.571303300078
2023-12-14,1108.9902089494801
2023-12-15,1105.795918654486
2023-12-18,1090.4281211880245
2023-12-19,1093.73291799592
2023-12-20,1112.5684969929598
2023-12-21,1100.536166753433
2023-12-22,1086.651820015629
2023-12-26,1116.5380577272626
2023-12-27,1086.3757087135684
2023-12-28,1132.2669915251904
2024-01-02,1128.2345992028493
2024-01-03,1101.4993692698572
2024-01-04,1083.9209997741086
2024-01-05,1078.3886906348337
2024-01-08,1071.7991124759997
2024-01-09,1085.6303148861812
2024-01-10,1087.4638717479838
2024-01-11,1098.3021379795052
2024-01-12,1101.6828543971797
2024-01-15,1106.1334376493596
2024-01-16,1114.8250558467328
2024-01-17,1086.5914604607437
2024-01-18,1096.5967618632424
2024-01-19,1108.9722284069173
2024-01-22,1125.4973471244532
2024-01-23,1142.9509008826049
2024-01-24,1140.0238609715173
2024-01-25,1143.6943637001511
2024-01-26,1152.7416137014955
2024-01-29,1169.8895769092235
2024-01-30,1180.1615474600455
2024-01-31,1218.7107307775539
2024-02-01,1255.2456615590847
2024-02-02,1309.966084594933
2024-02-05,1286.674670508969
2024-02-06,1285.3002571152929
2024-02-07,1338.6337427358017
2024-02-08,1351.371648719578
2024-02-13,1353.668557022743
2024-02-14,1345.767077746946
2024-02-15,1331.5994463989507
2024-02-16,1387.2849026690008
2024-02-19,1452.7027529787217
2024-02-20,1416.4865330902628
2024-02-21,1417.5039788915672
2024-02-22,1449.1907481852702
2024-02-23,1496.3360549931494
2024-02-26,1498.075583687993
2024-02-27,1487.26089337038
2024-02-28,1493.7695458918508
2024-02-29,1501.810406568426
2024-03-04,1501.2964845973588
2024-03-05,1501.437909739598
2024-03-06,1485.2322999587
2024-03-07,1501.5789492949668
2024-03-08,1531.889340299427
2024-03-11,1511.0919240834296
2024-03-12,1504.3199347849413
2024-03-13,1508.7512337120386
2024-03-14,1535.150454394284
2024-03-15,1510.2172616970677
2024-03-18,1497.8914857645566
2024-03-19,1473.5166311956225
2024-03-20,1479.3253913279566
2024-03-21,1552.4494443097628
2024-03-22,1599.725755664516
2024-03-25,1582.7775507419485
